parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_RH_SomMotB_Aud_1,zALFF_17Networks_RH_SomMotB_Aud_1,,0.030932698048684,,,,,0.030932698048684
17Networks_RH_SomMotA_16,zALFF_17Networks_RH_SomMotA_16,,0.048707177961764,,,,,0.048707177961764
17Networks_RH_VisPeri_ExStrInf_2,zALFF_17Networks_RH_VisPeri_ExStrInf_2,,0.048635115642327,,,,,0.048635115642327
17Networks_RH_VisPeri_ExStrInf_1,zALFF_17Networks_RH_VisPeri_ExStrInf_1,,0.029090427876464,,,,,0.029090427876464
17Networks_RH_VisCent_ExStr_1,zALFF_17Networks_RH_VisCent_ExStr_1,,0.015465245551669,,,,,0.015465245551669
17Networks_LH_DefaultB_PFCv_4,zALFF_17Networks_LH_DefaultB_PFCv_4,,0.030358802440932,,,,,0.030358802440932
17Networks_LH_DefaultB_PFCd_4,zALFF_17Networks_LH_DefaultB_PFCd_4,,0.045108921403333,,,,,0.045108921403333
17Networks_LH_DefaultB_PFCd_3,zALFF_17Networks_LH_DefaultB_PFCd_3,,0.048908673805351,,,,,0.048908673805351
17Networks_LH_ContC_Cingp_2,zALFF_17Networks_LH_ContC_Cingp_2,,0.048908673805351,,,,,0.048908673805351
17Networks_LH_ContC_pCun_3,zALFF_17Networks_LH_ContC_pCun_3,,0.048635115642327,,,,,0.048635115642327
17Networks_LH_ContA_IPS_4,zALFF_17Networks_LH_ContA_IPS_4,,0.048707177961764,,,,,0.048707177961764
17Networks_LH_LimbicA_TempPole_7,zALFF_17Networks_LH_LimbicA_TempPole_7,,0.048707177961764,,,,,0.048707177961764
17Networks_LH_SalVentAttnA_Ins_2,zALFF_17Networks_LH_SalVentAttnA_Ins_2,,0.034944424209428,,,,,0.034944424209428
17Networks_LH_DorsAttnB_FEF_2,zALFF_17Networks_LH_DorsAttnB_FEF_2,,0.048854363747499,,,,,0.048854363747499
17Networks_LH_DorsAttnB_FEF_1,zALFF_17Networks_LH_DorsAttnB_FEF_1,,0.02872848514665,,,,,0.02872848514665
17Networks_LH_DorsAttnB_PostC_6,zALFF_17Networks_LH_DorsAttnB_PostC_6,,0.030358802440932,,,,,0.030358802440932
